domain,url,title,byteLength,linkCount
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/binf90017/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/educ91370/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/educ91370/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/courses/mc-edmo,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/musi90235/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/musi20008/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/musi20008/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/musi20008/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/search?page=6&types%5B%5D=course,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/gc-youthmh,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/651aa,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/gc-dthlth,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/sc-asw,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/501aa,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mc-bapt,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/search?page=24&types%5B%5D=course,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/gd-datasc,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/gc-hhs,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/gc-geron,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mc-scm150,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mc-appecon,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/gc-dphlth,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/sc-impsc,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/sc-ehac,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/gc-ahrc,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/841ac/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/courses/d-genst/further-study,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/courses/d-genst/notes,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/bh-com,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/b-fath,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/bh-mus,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/search?level_type%5B%5D=graduate&page=6&types%5B%5D=course,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/search?level_type%5B%5D=graduate&page=7&types%5B%5D=course,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mc-is,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/search?level_type%5B%5D=graduate&page=19&types%5B%5D=course,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/search?level_type%5B%5D=graduate&page=17&types%5B%5D=course,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mr-philbms/notes,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mr-philhlt/course-structure,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mr-phildsc/entry-participation-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mr-philpgh/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mr-philpgh/course-structure,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mr-philpgh/notes,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mr-artsths/course-structure,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/080cn/course-structure,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/courses/dr-philart/attributes-outcomes-skills,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/dr-phillaw/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/dr-philabp,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mr-philedu,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mr-philagr,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mr-irchem,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/051aa,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/871aa,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/courses/mr-phileng,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/psyc90122/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/psyc90122/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/psyc90122/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/poph90280/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/poph90279/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/educ90334/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/poph90283/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/poph90283/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/view/current/POPH90283,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/musi90251/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/dent90102/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/hlth90019/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/musi20175/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/engr90031/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/laws50059/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/hlth90017/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/hlth90017/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/hlth90017/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/phty90100/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/phty90100/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/phty90100/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/evsc90037/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/evsc90037/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/evsc90035/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/mast90079,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/educ91297,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/musi90195,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/search?page=6&types%5B%5D=subject,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/crea90002,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/asia40005,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/islm40012,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/engl10001,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/search?page=306&types%5B%5D=subject,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/musi20178/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/musi10182,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/musi10182/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/indo30021/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/miim40005/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/miim40005/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/miim40005/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/musi40016/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/medi40004/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/mecm30017/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/medi40014/print,,884,0
