src_domain,dst_domain,contextual_links
education.unimelb.edu.au,ask.unimelb.edu.au,37
research.unimelb.edu.au,msd.unimelb.edu.au,37
students.unimelb.edu.au,lms.unimelb.edu.au,37
study.unimelb.edu.au,arts.unimelb.edu.au,37
msd.unimelb.edu.au,lms.unimelb.edu.au,36
research.unimelb.edu.au,library.unimelb.edu.au,36
education.unimelb.edu.au,library.unimelb.edu.au,35
eng.unimelb.edu.au,your.unimelb.edu.au,35
eng.unimelb.edu.au,events.unimelb.edu.au,35
fbe.unimelb.edu.au,maps.unimelb.edu.au,35
mdhs.unimelb.edu.au,poche.mdhs.unimelb.edu.au,35
study.unimelb.edu.au,medicine.unimelb.edu.au,35
www.unimelb.edu.au,edsc.unimelb.edu.au,35
science.unimelb.edu.au,biosciences.unimelb.edu.au,34
study.unimelb.edu.au,eng.unimelb.edu.au,34
education.unimelb.edu.au,studentit.unimelb.edu.au,33
finearts-music.unimelb.edu.au,blogs.unimelb.edu.au,33
science.unimelb.edu.au,study.unimelb.edu.au,33
education.unimelb.edu.au,minerva-elements.unimelb.edu.au,32
eng.unimelb.edu.au,maps.unimelb.edu.au,32
medicine.unimelb.edu.au,about.unimelb.edu.au,32
arts.unimelb.edu.au,gradresearch.unimelb.edu.au,31
eng.unimelb.edu.au,biomedical.eng.unimelb.edu.au,31
law.unimelb.edu.au,forms.your.unimelb.edu.au,30
mdhs.unimelb.edu.au,safercommunity.unimelb.edu.au,30
mdhs.unimelb.edu.au,studentit.unimelb.edu.au,30
research.unimelb.edu.au,students.unimelb.edu.au,30
research.unimelb.edu.au,sites.research.unimelb.edu.au,30
biomedicalsciences.unimelb.edu.au,www.bio21.unimelb.edu.au,29
fbe.unimelb.edu.au,umsu.unimelb.edu.au,29
science.unimelb.edu.au,pursuit.unimelb.edu.au,29
study.unimelb.edu.au,mspgh.unimelb.edu.au,29
arts.unimelb.edu.au,search.unimelb.edu.au,28
biomedicalsciences.unimelb.edu.au,forms.your.unimelb.edu.au,28
fbe.unimelb.edu.au,cat.lib.unimelb.edu.au,28
mdhs.unimelb.edu.au,ask.unimelb.edu.au,28
research.unimelb.edu.au,mspgh.unimelb.edu.au,28
students.unimelb.edu.au,scholarships.unimelb.edu.au,28
www.unimelb.edu.au,study.unimelb.edu.au,28
arts.unimelb.edu.au,giving.unimelb.edu.au,27
biomedicalsciences.unimelb.edu.au,unimelb.edu.au,27
biomedicalsciences.unimelb.edu.au,events.unimelb.edu.au,27
finearts-music.unimelb.edu.au,ecommerce.unimelb.edu.au,27
law.unimelb.edu.au,gradresearch.unimelb.edu.au,27
mdhs.unimelb.edu.au,melbourne-cshe.unimelb.edu.au,27
research.unimelb.edu.au,medicine.unimelb.edu.au,27
students.unimelb.edu.au,canvas.lms.unimelb.edu.au,27
study.unimelb.edu.au,your.unimelb.edu.au,27
arts.unimelb.edu.au,research.unimelb.edu.au,26
finearts-music.unimelb.edu.au,about.unimelb.edu.au,26
law.unimelb.edu.au,lms.unimelb.edu.au,26
mbs.unimelb.edu.au,students.unimelb.edu.au,26
science.unimelb.edu.au,events.unimelb.edu.au,26
services.unimelb.edu.au,www.unimelb.edu.au,26
study.unimelb.edu.au,research.unimelb.edu.au,26
biomedicalsciences.unimelb.edu.au,research.unimelb.edu.au,25
handbook.unimelb.edu.au,ask.unimelb.edu.au,25
medicine.unimelb.edu.au,pursuit.unimelb.edu.au,25
research.unimelb.edu.au,fbe.unimelb.edu.au,25
study.unimelb.edu.au,matrix-cms.unimelb.edu.au,25
eng.unimelb.edu.au,electrical.eng.unimelb.edu.au,24
eng.unimelb.edu.au,studentit.unimelb.edu.au,24
fbe.unimelb.edu.au,pursuit.unimelb.edu.au,24
law.unimelb.edu.au,canvas.lms.unimelb.edu.au,24
mdhs.unimelb.edu.au,www.findanexpert.unimelb.edu.au,24
