src_domain,dst_host,link_count
study.unimelb.edu.au,finearts-music.unimelb.edu.au,161
www.unimelb.edu.au,study.unimelb.edu.au,160
www.unimelb.edu.au,students.unimelb.edu.au,158
science.unimelb.edu.au,research.unimelb.edu.au,156
education.unimelb.edu.au,scholarships.unimelb.edu.au,155
arts.unimelb.edu.au,www.findanexpert.unimelb.edu.au,147
science.unimelb.edu.au,safety.unimelb.edu.au,147
science.unimelb.edu.au,library.unimelb.edu.au,147
biomedicalsciences.unimelb.edu.au,search.unimelb.edu.au,146
biomedicalsciences.unimelb.edu.au,handbook.unimelb.edu.au,145
fbe.unimelb.edu.au,dx.doi.org,145
www.unimelb.edu.au,www.instagram.com,145
finearts-music.unimelb.edu.au,maps.unimelb.edu.au,144
law.unimelb.edu.au,melbourneasiareview.edu.au,144
research.unimelb.edu.au,doi.org,144
law.unimelb.edu.au,kar.kent.ac.uk,143
study.unimelb.edu.au,services.unimelb.edu.au,143
mdhs.unimelb.edu.au,services.unimelb.edu.au,141
www.unimelb.edu.au,research.unimelb.edu.au,139
www.unimelb.edu.au,staff.unimelb.edu.au,137
arts.unimelb.edu.au,orcid.org,136
fbe.unimelb.edu.au,sites.google.com,136
fbe.unimelb.edu.au,handbook.unimelb.edu.au,136
www.unimelb.edu.au,your.unimelb.edu.au,136
science.unimelb.edu.au,safes.unimelb.edu.au,135
study.unimelb.edu.au,law.unimelb.edu.au,135
www.unimelb.edu.au,safety.unimelb.edu.au,135
www.unimelb.edu.au,library.unimelb.edu.au,134
law.unimelb.edu.au,www.uvic.ca,132
law.unimelb.edu.au,orcid.org,131
medicine.unimelb.edu.au,youtu.be,130
www.unimelb.edu.au,twitter.com,130
eng.unimelb.edu.au,scholarships.unimelb.edu.au,129
fbe.unimelb.edu.au,doi.org,128
science.unimelb.edu.au,findanexpert.unimelb.edu.au,127
science.unimelb.edu.au,scholarships.unimelb.edu.au,127
fbe.unimelb.edu.au,melbourneinstitute.unimelb.edu.au,125
study.unimelb.edu.au,studyassist.gov.au,125
www.unimelb.edu.au,www.flickr.com,125
arts.unimelb.edu.au,pursuit.unimelb.edu.au,124
medicine.unimelb.edu.au,pc4tg.com.au,124
law.unimelb.edu.au,www.reading.ac.uk,122
handbook.unimelb.edu.au,cloud.timeedit.net,119
medicine.unimelb.edu.au,mobilelearningunituom.tfaforms.net,119
mdhs.unimelb.edu.au,twitter.com,118
msd.unimelb.edu.au,pursuit.unimelb.edu.au,116
arts.unimelb.edu.au,www.cambridge.org,114
eng.unimelb.edu.au,sites.research.unimelb.edu.au,113
eng.unimelb.edu.au,docs.google.com,113
arts.unimelb.edu.au,maps.unimelb.edu.au,112
fbe.unimelb.edu.au,pursuit.unimelb.edu.au,112
law.unimelb.edu.au,events.unimelb.edu.au,112
eng.unimelb.edu.au,anff.org.au,111
law.unimelb.edu.au,kpmg.com,111
fbe.unimelb.edu.au,www.sciencedirect.com,109
finearts-music.unimelb.edu.au,events.unimelb.edu.au,109
mbs.unimelb.edu.au,students.unimelb.edu.au,109
www.unimelb.edu.au,events.unimelb.edu.au,108
arts.unimelb.edu.au,www.youtube.com,104
medicine.unimelb.edu.au,web.microsoftstream.com,104
study.unimelb.edu.au,findanexpert.unimelb.edu.au,104
fbe.unimelb.edu.au,linktr.ee,102
education.unimelb.edu.au,dx.doi.org,100
eng.unimelb.edu.au,infrastructure.eng.unimelb.edu.au,100
education.unimelb.edu.au,services.unimelb.edu.au,99
medicine.unimelb.edu.au,handbook.unimelb.edu.au,99
study.unimelb.edu.au,www.aqf.edu.au,97
arts.unimelb.edu.au,theconversation.com,96
fbe.unimelb.edu.au,www.ncbi.nlm.nih.gov,96
students.unimelb.edu.au,maps.unimelb.edu.au,96
dental.unimelb.edu.au,twitter.com,94
students.unimelb.edu.au,safercommunity.unimelb.edu.au,94
study.unimelb.edu.au,science.unimelb.edu.au,94
biomedicalsciences.unimelb.edu.au,www.doherty.edu.au,92
fbe.unimelb.edu.au,scholarships.unimelb.edu.au,92
mdhs.unimelb.edu.au,scholarships.unimelb.edu.au,92
research.unimelb.edu.au,indigenousknowledge.unimelb.edu.au,90
study.unimelb.edu.au,study.unimelb.edu.auundefined,90
finearts-music.unimelb.edu.au,pursuit.unimelb.edu.au,88
mdhs.unimelb.edu.au,www.doherty.edu.au,88
mbs.unimelb.edu.au,study.unimelb.edu.au,87
medicine.unimelb.edu.au,www.saferfamilies.org.au,87
mdhs.unimelb.edu.au,gsa.unimelb.edu.au,86
arts.unimelb.edu.au,scholarships.unimelb.edu.au,85
mdhs.unimelb.edu.au,umsu.unimelb.edu.au,85
mdhs.unimelb.edu.au,www.topuniversities.com,85
arts.unimelb.edu.au,events.unimelb.edu.au,84
biomedicalsciences.unimelb.edu.au,www.flickr.com,84
mbs.unimelb.edu.au,safety.unimelb.edu.au,83
mbs.unimelb.edu.au,research.unimelb.edu.au,83
mbs.unimelb.edu.au,library.unimelb.edu.au,83
mbs.unimelb.edu.au,staff.unimelb.edu.au,83
research.unimelb.edu.au,gateway.research.unimelb.edu.au,83
law.unimelb.edu.au,verfassungsblog.de,82
law.unimelb.edu.au,www.latrobe.edu.au,82
finearts-music.unimelb.edu.au,vca.unimelb.edu.au,81
education.unimelb.edu.au,gsa.unimelb.edu.au,80
study.unimelb.edu.au,murrupbarak.unimelb.edu.au,80
arts.unimelb.edu.au,umsu.unimelb.edu.au,79
mdhs.unimelb.edu.au,www.timeshighereducation.com,79
students.unimelb.edu.au,studyos.students.unimelb.edu.au,79
students.unimelb.edu.au,sustainablecampus.unimelb.edu.au,79
fbe.unimelb.edu.au,q.surveys.unimelb.edu.au,78
medicine.unimelb.edu.au,www.mcri.edu.au,78
msd.unimelb.edu.au,protect-au.mimecast.com,78
law.unimelb.edu.au,www.kcl.ac.uk,77
students.unimelb.edu.au,studentit.unimelb.edu.au,77
study.unimelb.edu.au,mdhs.unimelb.edu.au,77
study.unimelb.edu.au,education.unimelb.edu.au,77
research.unimelb.edu.au,au.linkedin.com,76
arts.unimelb.edu.au,link.springer.com,75
education.unimelb.edu.au,umsu.unimelb.edu.au,75
law.unimelb.edu.au,pursuit.unimelb.edu.au,75
msd.unimelb.edu.au,search.unimelb.edu.au,74
study.unimelb.edu.au,unimelb.badgr.io,74
finearts-music.unimelb.edu.au,youtu.be,73
students.unimelb.edu.au,gradresearch.unimelb.edu.au,73
arts.unimelb.edu.au,scholar.google.com,72
fbe.unimelb.edu.au,search.unimelb.edu.au,72
study.unimelb.edu.au,my.matterport.com,71
law.unimelb.edu.au,www.cambridge.org,70
mbs.unimelb.edu.au,scholarships.unimelb.edu.au,70
students.unimelb.edu.au,library.unimelb.edu.au,70
research.unimelb.edu.au,science.unimelb.edu.au,69
students.unimelb.edu.au,ecommerce.unimelb.edu.au,69
study.unimelb.edu.au,vtac.edu.au,69
arts.unimelb.edu.au,studyos.students.unimelb.edu.au,68
education.unimelb.edu.au,pursuit.unimelb.edu.au,68
mdhs.unimelb.edu.au,genomic-cancer-medicine.unimelb.edu.au,68
mdhs.unimelb.edu.au,gateway.research.unimelb.edu.au,67
msd.unimelb.edu.au,orcid.org,67
biomedicalsciences.unimelb.edu.au,www.abc.net.au,66
law.unimelb.edu.au,www.uva.nl,66
law.unimelb.edu.au,www.lse.ac.uk,66
arts.unimelb.edu.au,www.routledge.com,65
students.unimelb.edu.au,umsu.unimelb.edu.au,64
education.unimelb.edu.au,gateway.research.unimelb.edu.au,63
finearts-music.unimelb.edu.au,students.unimelb.edu.au,63
education.unimelb.edu.au,policy.unimelb.edu.au,62
eng.unimelb.edu.au,www.abc.net.au,62
research.unimelb.edu.au,creativecommons.org,62
study.unimelb.edu.au,maps.unimelb.edu.au,62
biomedicalsciences.unimelb.edu.au,orcid.org,61
biomedicalsciences.unimelb.edu.au,pubmed.ncbi.nlm.nih.gov,61
eng.unimelb.edu.au,www.sciencedirect.com,61
medicine.unimelb.edu.au,healthy-trajectories.com.au,61
eng.unimelb.edu.au,handbook.unimelb.edu.au,60
finearts-music.unimelb.edu.au,www.findanexpert.unimelb.edu.au,60
law.unimelb.edu.au,www.nls.ac.in,60
research.unimelb.edu.au,www.arc.gov.au,60
science.unimelb.edu.au,sgeas.unimelb.edu.au,60
arts.unimelb.edu.au,www.abc.net.au,59
arts.unimelb.edu.au,www.critical-stages.org,59
law.unimelb.edu.au,scholars.latrobe.edu.au,59
medicine.unimelb.edu.au,kams.org.au,59
