topic,unit_slug,faculty,url,title,wordCount,classification,page_type
careers-employability,ffam,FFAM,https://finearts-music.unimelb.edu.au/current-students/employability-in-fine-arts-and-music,Employability in Fine Arts and Music,711,mixed,content
careers-employability,ffam,FFAM,https://finearts-music.unimelb.edu.au/current-students/student-experience/fine-arts-and-music-career-mentoring,Fine Arts and Music Career Mentoring,1328,unique,content
careers-employability,ffam,FFAM,https://finearts-music.unimelb.edu.au/current-students/student-experience/ignite-lab,Ignite LAB,1439,unique,content
careers-employability,ffam,FFAM,https://finearts-music.unimelb.edu.au/current-students/opportunities-and-outreach/ignite-lab,Ignite LAB,1439,unique,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/career-services,Career Services,305,unique,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/career-services/career-outcomes,Career Outcomes,395,unique,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/career-services/career-pathways,Career Pathways,181,unique,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-business,Careers in Business,161,unique,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-private-sector,Careers in Private Sector,329,unique,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/career-services/career-pathways/careers-in-public-interest-and-government,Careers in Public Interest and Government,356,unique,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/career-services/career-pathways/guide-to-becoming-a-barrister-in-victoria,Becoming a Barrister,709,unique,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/career-services/services-and-resources,Employability in Law,857,mixed,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/career-services/services-and-resources/ellis-program,ELLIS Program,911,unique,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/career-services/services-and-resources/ellis-program/2024,2024,187,unique,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/career-services/steps-to-practising-law,Steps to Practising Law,1556,unique,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/masters/enrichment,Enrichment | Masters (Law) | Melbourne Law School,222,unique,content
careers-employability,law,Law,https://law.unimelb.edu.au/students/mls-mentor-program,Mentor Program | Melbourne Law School | University of Melbourne,955,unique,content
careers-employability,mdhs,MDHS,https://mdhs.unimelb.edu.au/study/current-students/employability-in-mdhs,Employability in MDHS,925,mixed,content
careers-employability,science,Science,https://science.unimelb.edu.au/students/employability,Employability in Science,1309,mixed,content
careers-employability,science,Science,https://science.unimelb.edu.au/students/employability/career-enrichment-program,Career Enrichment Program,537,unique,content
clubs-events,abp,ABP,https://msd.unimelb.edu.au/current-students/subject-information/quota-subjects,Quota Subjects | Melbourne School of Design,1216,mixed,content
clubs-events,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience/clubs-and-societies,Clubs and Societies | Melbourne School of Design,545,mixed,content
clubs-events,abp,ABP,https://msd.unimelb.edu.au/current-students/subject-information,Subject Information | Melbourne School of Design,596,mixed,content
clubs-events,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience/clubs-and-societies/information-for-clubs,Information for clubs,1641,mixed,content
clubs-events,arts,Arts,https://arts.unimelb.edu.au/students/arts-student-ambassadors,Arts Student Ambassadors,991,unique,content
clubs-events,arts,Arts,https://arts.unimelb.edu.au/students/graduate-coursework/enrichment/arts-student-ambassadors,Arts Student Ambassadors,991,unique,content
clubs-events,arts,Arts,https://arts.unimelb.edu.au/students/graduate-research/manage-your-research-program/enrichment-activities,Enriching your graduate research,234,unique,content
clubs-events,biomedical,MDHS,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science/student-clubs-and-societies,Student Clubs and Societies,390,unique,content
clubs-events,biomedical,MDHS,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/orientation,Biomedicine Orientation,437,unique,content
clubs-events,biomedical,MDHS,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/student-societies,Student Societies,809,unique,content
clubs-events,education,Education,https://education.unimelb.edu.au/study/current-students,Current Students | Faculty of Education,795,mixed,content
